column_name,dtype,source_table,field_role,recommended_for_baseline_model,notes
shot_emb_4,float64,player_identity_drift_table.csv,numeric_predictor,1,Shot-style embedding dimension from Deliverable 2.
shot_emb_5,float64,player_identity_drift_table.csv,numeric_predictor,1,Shot-style embedding dimension from Deliverable 2.
shot_emb_6,float64,player_identity_drift_table.csv,numeric_predictor,1,Shot-style embedding dimension from Deliverable 2.
shot_emb_7,float64,player_identity_drift_table.csv,numeric_predictor,1,Shot-style embedding dimension from Deliverable 2.
shot_emb_8,float64,player_identity_drift_table.csv,numeric_predictor,1,Shot-style embedding dimension from Deliverable 2.
shot_emb_9,float64,player_identity_drift_table.csv,numeric_predictor,1,Shot-style embedding dimension from Deliverable 2.
shot_style_entropy,float64,player_identity_drift_table.csv,numeric_predictor,1,Early-career drift / shot-coverage / subtype-confidence predictor.
shot_style_prob_0,float64,player_identity_drift_table.csv,numeric_predictor,1,Soft shot-style subtype membership probability.
shot_style_prob_1,float64,player_identity_drift_table.csv,numeric_predictor,1,Soft shot-style subtype membership probability.
shot_style_prob_2,float64,player_identity_drift_table.csv,numeric_predictor,1,Soft shot-style subtype membership probability.
shot_style_prob_3,float64,player_identity_drift_table.csv,numeric_predictor,1,Soft shot-style subtype membership probability.
shot_style_prob_4,float64,player_identity_drift_table.csv,numeric_predictor,1,Soft shot-style subtype membership probability.
shot_style_subtype_changes,float64,player_identity_drift_table.csv,numeric_predictor,1,Early-career drift / shot-coverage / subtype-confidence predictor.
shot_style_subtype_probability,float64,player_identity_drift_table.csv,numeric_predictor,1,Early-career drift / shot-coverage / subtype-confidence predictor.
shotstyle_total_path_length,float64,player_identity_drift_table.csv,numeric_predictor,1,Early-career drift / shot-coverage / subtype-confidence predictor.
shotstyle_y1_to_y4_displacement,float64,player_identity_drift_table.csv,numeric_predictor,1,Early-career drift / shot-coverage / subtype-confidence predictor.
total_shot_attempts_covered,float64,player_identity_drift_table.csv,numeric_predictor,1,Early-career drift / shot-coverage / subtype-confidence predictor.
cluster_archetype_k5,object,player_identity_drift_table.csv,categorical_predictor,1,Pre-Year5 categorical predictor; encode later if used in the baseline model.
embedding_aggregation,object,player_identity_drift_table.csv,categorical_predictor,1,Pre-Year5 categorical predictor; encode later if used in the baseline model.
hybrid_archetype_label,object,player_identity_drift_table.csv,categorical_predictor,1,Pre-Year5 categorical predictor; encode later if used in the baseline model.
identity_drift_class,object,player_identity_drift_table.csv,categorical_predictor,1,Pre-Year5 categorical predictor; encode later if used in the baseline model.
macro_cluster_id,int64,player_identity_drift_table.csv,categorical_predictor,1,Pre-Year5 categorical predictor; encode later if used in the baseline model.
shot_style_subtype,object,player_identity_drift_table.csv,categorical_predictor,1,Pre-Year5 categorical predictor; encode later if used in the baseline model.
shot_style_subtype_id,float64,player_identity_drift_table.csv,categorical_predictor,1,Pre-Year5 categorical predictor; encode later if used in the baseline model.
any_player_option,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
any_qualifying_offer,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
any_team_option,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
any_terminated,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
any_two_way_contract,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
cap_match_flag,int64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
luxury_tax,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
name_key,object,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
name_key_raw,object,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
raw_salary_rows,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
raw_team_count,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
salary_cap,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
salary_match_type,object,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
salary_name_match_flag,int64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
salary_player_name_example,object,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
year5_salary_match_flag,int64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
year5_season_start,int64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
year5_season_string,object,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
year_salary_total,float64,year5_salary_target_table.csv,target_audit_context,0,"Built from the Year-5 salary merge; keep for audit, exclude from predictive modeling."
DRAFT_YEAR,float64,player_identity_drift_table.csv,redundant_meta,0,Redundant draft-year field from upstream table; exclude from modeling.
comp_based_interpretation,object,final_player_archetype_profile_table.csv,context_or_other,0,Unclassified context field; review before using in a predictive model.
supporting_shot_style_explanation,object,final_player_archetype_profile_table.csv,context_or_other,0,Unclassified context field; review before using in a predictive model.
